link,date,text,ad
kunonline/12100,2023-05-03 02:30:27+00:00,"**🇷🇺 Rossiyaning Bryansk oblastida soʻnggi ikki kun ichida ikkinchi bor qoʻporuvchilik ortidan yuk poyezdi yoʻldan chiqarib yuborildi **TASS xabariga koʻra, lokomotiv va 20 ta yuk vagonlari portlovchi modda ishga tushishi oqibatida yoʻldan chiqib ketgan. Hech kim jabrlanmagan. 👉",0.0
kunonline/12101,2023-05-03 02:45:11+00:00,"🇺🇦 **Ukrainaning davlat qarzi mart oyida qariyb 4 milliard dollarga koʻpaydi **Ukrainaning davlat va davlat kafolatidagi qarzlari summasi 3,9 milliard AQSH dollariga oshib, **119,9 milliard **dollarga yetgan, deb xabar bermoqda Ukraina Moliya vazirligi. 👉",0.0
kunonline/12102,2023-05-03 03:01:15+00:00,"🇹🇷 **Turkiya Qorapinar quyosh fotoelektr stansiyasini ishga tushiradi **Ko'nya viloyatida 5-may kuni ish boshlaydigan, quvvati 1350 MW boʻlgan stansiya Yevropadagi eng yirigiga aylanadi va Turkiyadagi quyosh energiyasi ulushini 20 foizga oshiradi. 👉",0.0
kunonline/12103,2023-05-03 03:15:13+00:00,🇬🇪 Gurjiston bu yil Yevropada oʻtadigan NATO davlatlari va ularning hamkorlari ishtirokidagi Defender-23 harbiy mashqlarida ishtirok etishdan bosh tortdi. 👉,0.0
kunonline/12104,2023-05-03 03:31:07+00:00,**🇬🇧 Buyuk Britaniya qiroli Charlz III ning toj kiydirish marosimi 6-may kuni Vestminster abbatligida boʻlib oʻtadi ** Charlz III oʻz rafiqasi qirolicha-konsort Kamilla bilan birga toj kiyadi. U Vesminster abbatligida toj kiydirilgan 40-qirolga aylanadi. Bu maskanda ilk marta toj kiydirish marosimi 1066-yilda boʻlib oʻtgan. 👉,0.0
kunonline/12105,2023-05-03 04:01:26+00:00,"🇺🇸 **Kevin Makkarti Ukrainani doimo qoʻllashini taʼkidladi **Isroilda oʻtgan matbuot anjumanida RIA-Novosti muxbiri AQSH Vakillar palatasi spikeri Kevin Makkartiga savol berdi: __“Biz bilamizki, siz Ukrainaga hozirgi cheksiz va nazoratsiz qurol-yarogʻ yetkazib berilishini qoʻllamaysiz. Yaqin kelajakda AQSHning Ukrainaga harbiy yordam koʻrsatish borasida siyosati oʻzgaradimi?” __Makkarti bunga javoban shunday degan: __“Men tushunmadim, u meni Ukrainaga yordamni qoʻllamaydi, dedimi? Yoʻq, men Ukrainaga yordam uchun ovoz beraman. Men Ukrainaga yordamni qoʻllayman. Men sizning mamlakatingiz Ukrainani qay ahvolga solganini qoʻllamayman. Men shuningdek bolalarni oʻldirishlaringizni ham qoʻllamayman. Men Ukrainadan qoʻshinlaringizni olib chiqishingiz kerak, deb hisoblayman. Biz Ukrainani qoʻllashda davom etamiz, chunki qolgan butun dunyo vaziyatni aslida qanday boʻlsa shundayligicha koʻrib turibdi”. __👉",0.0
kunonline/12106,2023-05-03 04:30:58+00:00,Ukraina pravoslav cherkovi rasman Yuliy taqvimidan Grigoriy taqvimiga oʻtganini eʼlon qildi. Endi Ukrainada Iso mavludi (Rojdestvo) 25-dekabrda nishonlanadi. 👉,0.0
kunonline/12107,2023-05-03 05:16:27+00:00,2027-yilga borib butun dunyoda ishchi o'rinlari 14 mlnga qisqarishi mumkin — WEF 👉,0.0
kunonline/12108,2023-05-03 05:22:37+00:00,"**Krasnodar o'lkasida Taman porti yaqinida neft mahsulotlari saqlanadigan rezervuarda yong'in chiqdi **Yong'in 1200 kv. metr maydonni qamrab olgan. Dastlabki ma'lumotlarga ko'ra, rezervuar dron hujumi tufayli yonib ketgan. 👉",0.0
kunonline/12111,2023-05-03 06:04:40+00:00,🇺🇸 **2023-yilning oʻtgan 4 oyida AQSHda 70 ta yirik bankrotlik holati qayd etildi va ularning soni yanada oshadi **2023-yil moliyaviy inqiroz roʻy bergan 2009-yil va “kovidli” 2020-yildan soʻng XXI asrning uchinchi eng yomon yiliga aylandi. 👉,0.0
kunonline/12112,2023-05-03 06:15:01+00:00,"**Ukraina pilotsiz uchoqlari Rossiyaning Bryansk oblastidagi harbiy aerodromga yopirilgan **Maʼlumotlarga koʻra, yopirilgan 5 ta drondan 2 tasi urib tushirilgan, 2 tasi aerodromi hududida portlagan va foydanilmay turgan An-124-Ruslan harbiy transport samolyotiga ziyon yetkazilgan. Bitta dron topilmagan. 👉",0.0
kunonline/12113,2023-05-03 06:30:41+00:00,"🇰🇿 **2023-yilning boshidan buyon Qozogʻistonga qaytib, qondosh statusini olgan etnik qozoqlar soni 6144 nafarni tashkil etgan **Qozogʻiston mehnat va ijtimoiy himoya vazirligiga koʻra, ularning 54 foizi Oʻzbekistondan, 19,1 foizi XXRdan, 12,1 foizi Rossiyadan, 5,6 foizi Turkmanistondan, 5,7 foizi Moʻgʻilistondan va 1 foizi boshqa davlatlardan kelgan. 👉",0.0
kunonline/12114,2023-05-03 06:45:15+00:00,"🇹🇷 **Turkiya mudofaa vazirligi 5-may kuni Istanbul shahrida Turkiya, Rossiya va Ukraina delegatsiyalari “don kelishuv” boʻyicha yigʻilishini maʼlum qildi **Uchrashuv mudofaa vazirlari oʻrinbosarlari darajasida tashkil etilishi maʼlum qilingan. Rossiya TIV uchrashuv haqidagi masala kelishilmaganini bayon qilgan. 👉",0.0
kunonline/12115,2023-05-03 07:12:01+00:00,**NASA Quyosh va Quyosh tizimi bilan solishtirilgan oʻta massali qora tuynuklar haqidagi rolikni namoyish etdi **Bu qora tuynuklarning [oʻlchami ](https://www.youtube.com/watch?v=jU1DsipURcM)Quyosh massasining 100 ming barobaridan 66 milliard barobariga yetadi. Ularning miqyosini aqlga sigʻdirish qiyin. 👉,0.0
kunonline/12116,2023-05-03 07:41:45+00:00,TASS: Krasnodar o'lkasida yonilg'i saqlanuvchi rezervuardagi yong'in dron qulashi oqibatida ro'y bergan 👉,0.0
kunonline/12117,2023-05-03 08:20:46+00:00,"**O'zbekiston matbuot erkinligi reytingida 137-o'ringa tushdi **“Chegara bilmas muxbirlar” xalqaro tashkilotining matbuot erkinligi indeksida O'zbekiston bir yil oldingiga qaraganda 4 pog'onaga pasayib, 137-o'ringa [tushdi](https://kun.uz/uz/01109130). 👉",0.0
kunonline/12118,2023-05-03 08:59:40+00:00,**OAV:** Ukraina prezidenti Volodimir Zelenskiy Finlandiyaga bordi. 👉,0.0
kunonline/12119,2023-05-03 09:13:00+00:00,"Nexta Telegram-kanali sobiq bosh muharriri Roman Protasevich «Belarus hukumatini egallashga urinishda» aybdor deb topilib, 8 yilga qamaldi. 👉",0.0
kunonline/12120,2023-05-03 09:26:03+00:00,"Shuningdek, Nexta Telegram-kanali asoschisi Stepan Putilo sirtdan 20 yil, yana bir sobiq bosh muharrir Yan Rudik sirtdan 19 yil qamoqqa hukm qilindi. 👉",0.0
kunonline/12121,2023-05-03 09:45:38+00:00,"**Ukraina tomoni Xersonda 58 soatlik komendantlik soati e'lon qildi **Bir qismini Rossiya, bir qismini Ukraina nazorat qiladigan Xersonning Kiyev tomonidan tayinlangan rahbari Aleksandr Produkin 5-may soat 20:00 dan 8-may soat 06:00 gacha Xerson ko'chalarida yurish taqiqlanishini aytdi. Produkin ushbu 58 soat davomida «huquqni muhofaza qiluvchi organlar o'z ishini xotirjam bajarishi uchun» odamlardan uyda qolishni so'ragan. Bu e'lon Ukraina qarshi hujumni boshlashi bilan bog'liq yoki yo'qligi aniq emas. 👉",0.0
kunonline/12122,2023-05-03 10:13:32+00:00,**Zelenskiy** 13-may kuni Berlinga boradi — OAV 👉,0.0
